;0
0;0.004475777668773117
1;0.004352828477441719
2;0.004359236907790711
3;0.004329232428458697
4;0.004166359977183865
5;0.004483329916106577
6;0.0026490667535668455
7;0.0019548557650795615
8;-0.003194451677914385
9;-0.0067324218504314325
10;-0.009057947229714907
11;-0.015029732427967603
12;-0.015594932981236015
13;-0.01745992998714508
14;-0.01973373835011819
15;-0.01173359665230118
16;-0.005193189059083752
17;0.002784818721900959
18;0.004672531315199962
19;0.005963082057847818
20;0.008563085800533995
21;0.008569432244483284
22;0.007965677401107155
23;0.004863772585074351
